CompanyID,CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption
10,Company_10,Technology,Latin America,2023,108029.1,17.3,416982.0,15.5,67.4,79.5,77.9,44.9,3476430.3,2085858.2,6952860.6
499,Company_499,Transportation,Asia,2021,697.3,8.6,594.8,23.0,42.0,11.6,44.3,70.3,468164.1,78027.4,1560547.1
637,Company_637,Utilities,Oceania,2017,602.9,11.5,610.2,-3.7,51.0,22.0,95.3,35.9,504584.5,315365.3,5045844.6
363,Company_363,Manufacturing,Asia,2017,1135.4,6.3,817.0,-5.6,48.0,22.6,52.6,68.9,354740.3,472987.0,5912337.9
283,Company_283,Retail,Asia,2024,902.9,1.5,274.9,11.0,69.3,61.2,69.5,77.1,69687.1,34843.5,139374.1
368,Company_368,Finance,Europe,2018,3956.8,14.1,11098.2,9.3,73.5,94.2,65.5,60.8,42754.5,21377.3,106886.3
274,Company_274,Transportation,Asia,2025,1122.8,9.8,1879.8,14.8,40.5,21.7,30.3,69.6,705938.8,117656.5,2353129.3
601,Company_601,Retail,Asia,2022,691.9,-0.8,1738.4,-2.8,73.4,80.4,55.0,84.7,44092.5,22046.3,88185.0
384,Company_384,Healthcare,Oceania,2021,9455.2,14.6,34059.0,-2.0,56.0,59.9,30.2,78.0,738472.8,738472.8,1476945.5
796,Company_796,Healthcare,Europe,2020,9885.0,16.3,35163.6,3.7,75.1,72.4,69.8,83.0,685105.5,685105.5,1370211.0
516,Company_516,Utilities,North America,2015,279.1,13.7,517.7,,33.4,18.3,12.6,69.4,239354.6,149596.6,2393546.1
839,Company_839,Manufacturing,Oceania,2022,2113.3,14.3,6230.3,12.0,54.2,55.8,40.2,66.5,513147.9,684197.2,8552465.6
731,Company_731,Finance,Middle East,2015,3032.4,17.7,7232.4,,75.6,96.1,39.5,91.3,31976.0,15988.0,79939.9
899,Company_899,Manufacturing,Asia,2023,2878.0,12.3,5353.5,0.7,51.0,32.1,47.6,73.4,842067.1,1122756.2,14034452.5
169,Company_169,Consumer Goods,Latin America,2018,787.1,6.6,786.9,24.2,57.0,64.1,88.1,18.8,118316.6,147895.8,591583.1
103,Company_103,Retail,Africa,2016,1010.8,7.5,1069.2,-1.9,52.9,80.6,41.7,36.3,64287.5,32143.8,128575.0
277,Company_277,Transportation,Middle East,2022,775.5,9.3,1111.5,11.1,36.3,64.0,40.2,4.5,349805.5,58300.9,1166018.3
307,Company_307,Finance,Middle East,2018,4614.7,17.7,13670.2,21.8,59.2,98.8,72.9,5.9,46952.4,23476.2,117381.1
621,Company_621,Transportation,North America,2024,342.9,7.8,324.5,-2.3,63.9,29.6,80.1,81.9,204180.6,34030.1,680602.1
998,Company_998,Healthcare,Oceania,2017,1321.8,20.0,6339.2,9.8,62.4,95.1,26.3,65.8,70649.3,70649.3,141298.6
281,Company_281,Healthcare,Middle East,2023,1359.2,4.1,785.0,-7.5,50.8,66.8,8.7,77.0,99549.5,99549.5,199098.9
856,Company_856,Healthcare,Europe,2015,1216.8,23.1,5725.7,,69.4,74.3,82.3,51.7,82743.3,82743.3,165486.7
867,Company_867,Retail,Oceania,2024,468.5,7.0,664.4,14.3,48.8,45.0,44.3,57.1,41463.9,20731.9,82927.8
454,Company_454,Manufacturing,Middle East,2025,2136.6,7.3,2078.6,-23.9,36.0,47.5,29.6,30.9,556219.4,741625.9,9270323.6
383,Company_383,Energy,Middle East,2022,4488.7,43.9,37244.5,5.6,23.5,17.8,41.1,11.8,4828189.6,1448456.9,48281895.8
995,Company_995,Healthcare,Latin America,2018,2004.0,16.9,5337.6,-5.4,55.9,92.0,33.2,42.4,111378.9,111378.9,222757.8
561,Company_561,Healthcare,Africa,2022,2657.0,33.4,13268.4,9.9,39.5,76.9,5.3,36.4,175765.0,175765.0,351530.1
427,Company_427,Manufacturing,Asia,2017,676.6,13.9,777.2,11.2,42.6,24.8,30.0,73.1,208419.6,277892.7,3473659.3
626,Company_626,Healthcare,Europe,2017,4385.8,14.2,13347.5,17.1,69.7,48.2,76.7,84.4,378426.0,378426.0,756851.9
976,Company_976,Utilities,Africa,2023,1419.9,17.2,2333.6,-2.5,27.6,20.9,44.0,17.8,1196770.4,747981.5,11967703.6
765,Company_765,Transportation,Asia,2023,1226.3,4.8,878.8,4.0,47.5,20.0,64.3,58.1,779965.9,129994.3,2599886.3
923,Company_923,Transportation,Middle East,2019,673.4,-0.9,2699.5,10.6,51.9,59.9,67.2,28.6,315544.6,52590.8,1051815.2
998,Company_998,Healthcare,Oceania,2021,1646.4,25.4,4816.0,0.1,65.0,100.0,23.8,71.1,82321.5,82321.5,164643.0
850,Company_850,Healthcare,Latin America,2021,3354.3,14.9,12112.2,18.3,62.2,81.3,70.4,34.8,211714.6,211714.6,423429.2
229,Company_229,Finance,Africa,2021,2586.3,10.0,2737.0,-5.2,35.7,51.7,16.2,39.3,43344.6,21672.3,108361.5
265,Company_265,Manufacturing,Middle East,2019,922.8,9.8,1781.6,-10.4,24.4,37.2,31.0,5.0,260116.7,346822.3,4335278.3
540,Company_540,Utilities,Oceania,2024,2007.2,8.8,1769.6,6.4,74.3,78.1,100.0,44.8,1049493.9,655933.7,10494938.6
456,Company_456,Utilities,Asia,2025,353.9,9.6,311.3,-6.4,35.8,47.6,49.5,10.3,245474.0,153421.2,2454739.9
