id,region,ndvi,yield,year,month,soil_type
1,North,0.84,4.1,2022,7,sandy_loam
2,West,0.56,3.8,2023,7,sandy_loam
3,South,0.76,3.4,2020,10,peat
4,South,0.82,4.0,2023,8,peat
5,North,0.61,3.4,2023,5,clay
6,West,0.75,2.2,2020,12,peat
7,East,0.9,2.6,2023,9,peat
8,West,0.86,3.6,2020,12,peat
9,South,0.63,3.1,2023,2,sandy_loam
10,West,0.71,4.8,2022,8,peat
11,North,0.67,2.8,2021,11,clay
12,West,0.58,2.1,2022,8,clay
13,South,0.52,4.7,2022,11,sandy_loam
14,South,0.65,2.0,2021,12,peat
15,East,0.83,4.6,2022,5,sandy_loam
16,North,0.63,3.8,2023,6,sandy_loam
17,East,0.58,2.4,2021,4,sandy_loam
18,East,0.83,2.1,2021,5,peat
19,North,0.57,2.9,2020,4,peat
20,East,0.88,4.4,2020,10,clay
21,South,0.69,2.1,2022,12,sandy_loam
22,South,0.58,3.3,2020,3,peat
23,North,0.82,3.3,2023,9,clay
24,South,0.53,2.4,2022,4,sandy_loam
25,South,0.75,4.3,2023,11,clay
26,North,0.53,5.0,2023,1,clay
27,West,0.52,4.0,2021,12,peat
28,East,0.83,3.3,2023,1,sandy_loam
29,South,0.81,4.6,2023,9,peat
30,West,0.57,3.0,2023,12,sandy_loam
31,West,0.81,4.9,2020,7,peat
32,North,0.77,3.2,2020,8,sandy_loam
33,South,0.52,2.5,2021,10,peat
34,North,0.57,3.7,2022,4,sandy_loam
35,North,0.77,3.5,2023,5,clay
36,South,0.89,4.7,2021,9,clay
37,North,0.88,4.1,2021,2,sandy_loam
38,East,0.67,2.1,2023,6,clay
39,North,0.67,4.9,2021,7,sandy_loam
40,East,0.55,4.8,2023,8,clay
41,East,0.86,4.8,2021,1,clay
42,South,0.67,4.7,2022,5,clay
43,North,0.82,2.3,2021,2,peat
44,East,0.54,2.6,2021,3,sandy_loam
45,South,0.67,5.0,2022,11,peat
46,South,0.81,2.2,2020,9,peat
47,East,0.88,4.0,2020,11,peat
48,North,0.81,2.5,2021,1,sandy_loam
49,South,0.59,3.6,2021,10,peat
50,East,0.52,2.3,2022,2,peat
51,East,0.73,4.8,2021,4,peat
52,North,0.7,3.6,2021,1,sandy_loam
53,West,0.87,3.0,2020,12,clay
54,West,0.58,2.5,2023,12,sandy_loam
55,South,0.51,2.6,2020,11,sandy_loam
56,South,0.89,3.9,2022,11,clay
57,North,0.6,2.5,2020,1,clay
58,South,0.76,3.7,2021,8,sandy_loam
59,North,0.81,2.5,2021,8,sandy_loam
60,North,0.61,3.6,2020,5,clay
61,South,0.69,2.4,2023,1,clay
62,West,0.8,3.2,2020,6,peat
63,East,0.76,4.5,2020,5,clay
64,South,0.85,4.3,2022,7,clay
65,East,0.77,2.2,2021,12,peat
66,North,0.54,3.3,2021,3,clay
67,West,0.54,3.0,2022,12,sandy_loam
68,North,0.58,4.2,2020,5,clay
69,South,0.83,3.3,2020,6,clay
70,West,0.56,2.0,2023,3,peat
71,North,0.66,2.7,2021,6,clay
72,East,0.61,4.9,2020,1,peat
73,South,0.69,2.5,2023,5,clay
74,North,0.65,4.4,2020,1,sandy_loam
75,East,0.71,4.8,2022,2,peat
76,North,0.81,3.0,2021,10,peat
77,East,0.73,4.7,2022,8,clay
78,East,0.86,2.4,2022,9,peat
79,South,0.73,3.2,2021,7,sandy_loam
80,North,0.83,4.9,2021,8,sandy_loam
81,North,0.66,4.6,2020,5,sandy_loam
82,West,0.82,3.7,2021,4,sandy_loam
83,East,0.82,2.5,2023,10,clay
84,West,0.69,3.5,2022,1,sandy_loam
85,South,0.51,2.1,2023,2,peat
86,South,0.6,3.5,2023,6,peat
87,North,0.51,3.3,2022,2,clay
88,North,0.57,3.4,2023,1,peat
89,West,0.63,2.2,2022,10,sandy_loam
90,South,0.83,3.9,2022,2,sandy_loam
91,South,0.87,4.2,2020,2,sandy_loam
92,South,0.89,2.2,2021,6,peat
93,South,0.64,2.4,2021,8,peat
94,West,0.5,2.5,2021,4,peat
95,South,0.84,2.6,2020,10,peat
96,West,0.57,2.8,2021,4,peat
97,East,0.53,2.8,2021,4,peat
98,East,0.73,3.3,2023,4,clay
99,East,0.77,2.9,2022,1,sandy_loam
100,East,0.86,4.9,2023,5,clay
101,East,0.89,3.2,2023,10,peat
102,West,0.84,2.9,2022,3,clay
103,North,0.53,3.2,2020,9,sandy_loam
104,South,0.88,4.5,2023,7,peat
105,East,0.55,4.3,2023,5,sandy_loam
106,East,0.87,2.8,2022,3,peat
107,South,0.72,2.8,2022,1,peat
108,South,0.8,2.8,2022,9,peat
109,East,0.59,4.9,2023,2,peat
110,North,0.81,3.1,2021,9,peat
111,East,0.76,4.5,2021,3,sandy_loam
112,East,0.55,4.9,2023,12,clay
113,South,0.58,3.3,2021,8,clay
114,East,0.53,3.2,2021,8,peat
115,North,0.88,4.2,2023,9,clay
116,East,0.59,2.1,2022,10,peat
117,West,0.88,2.9,2021,9,sandy_loam
118,North,0.55,3.2,2022,5,sandy_loam
119,East,0.73,2.5,2023,8,peat
120,North,0.63,3.0,2021,4,clay
121,East,0.53,4.5,2021,2,peat
122,West,0.77,4.9,2020,11,clay
123,West,0.84,3.7,2022,4,clay
124,East,0.63,4.5,2021,1,peat
125,West,0.82,3.2,2023,10,clay
