country_or_area,year,value,category
Slovakia,2005,24.1586557704152,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Finland,2010,1820.34465424587,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Lithuania,2012,3520.2622326953,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Sweden,2008,968.039868684522,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Monaco,2009,1.015465806253,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Italy,2007,11.568333333336,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Turkey,2004,316893.705222216,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Bulgaria,2010,7782.63795680577,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Japan,2002,39471.6008685318,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Czech Republic,2001,7650.73702464,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Portugal,2009,75810.7184654977,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Ukraine,1999,127576.177018233,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Sweden,2007,937.9870337146,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Latvia,1992,19583.5108268412,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Turkey,2008,393100.907685785,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Ireland,2011,37895.1954270366,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Turkey,1998,43468.3479172528,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Norway,2011,54308.6438462418,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Germany,2011,812483.219621071,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Canada,2005,753897.578284867,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
France,2005,557991.587007233,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Poland,1997,22.910324363664,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Italy,1994,53920.3139635746,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovenia,1999,36.7407335198879,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Belgium,2000,10827.0045628699,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Russian Federation,1991,875196.162996812,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Austria,2011,1535.80074738863,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Spain,2004,416918.88669429,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Austria,2006,76934.9515340371,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
