game_id,player_id,points,assists,rebounds,game_date
G1,P1,27,5,14,2023-08-28
G2,P2,2,11,17,2023-06-26
G3,P3,30,8,19,2023-05-27
G4,P4,38,11,11,2023-12-14
G5,P5,1,8,1,2023-10-20
G6,P6,17,4,6,2023-10-14
G7,P7,30,7,18,2023-04-23
G8,P8,48,15,10,2023-06-10
G9,P9,43,5,18,2023-03-24
G10,P10,43,14,5,2023-03-17
G11,P11,30,4,1,2023-10-07
G12,P12,30,12,16,2023-09-30
G13,P13,15,1,7,2023-05-13
G14,P14,43,2,20,2023-06-26
G15,P15,42,15,6,2023-09-22
G16,P16,18,0,4,2023-08-22
G17,P17,40,11,1,2023-07-03
G18,P18,33,7,20,2023-11-26
G19,P19,0,1,16,2023-11-18
G20,P20,24,5,19,2023-06-09
G21,P21,3,9,6,2023-10-29
G22,P22,39,2,15,2023-02-19
G23,P23,30,0,0,2023-08-27
G24,P24,32,11,13,2023-08-31
G25,P25,27,5,19,2023-05-28
G26,P26,20,10,17,2023-10-20
G27,P27,23,15,11,2023-01-26
G28,P28,29,14,0,2023-10-09
G29,P29,30,6,0,2023-01-14
G30,P30,0,12,1,2023-08-24
G31,P31,36,10,7,2023-08-10
G32,P32,15,11,20,2023-08-20
G33,P33,43,9,4,2023-01-29
G34,P34,22,4,19,2024-01-01
G35,P35,26,15,7,2023-10-03
G36,P36,49,14,6,2023-10-30
G37,P37,45,9,14,2023-10-23
G38,P38,36,1,17,2023-03-19
G39,P39,45,12,0,2023-04-13
G40,P40,22,11,16,2023-09-15
G41,P41,2,5,18,2023-05-18
G42,P42,8,9,17,2023-02-23
G43,P43,20,10,10,2023-04-25
G44,P44,43,10,7,2023-11-20
G45,P45,29,9,17,2023-02-03
G46,P46,15,14,9,2023-07-14
G47,P47,48,4,19,2023-12-14
G48,P48,48,13,0,2023-06-09
G49,P49,15,3,8,2023-11-11
G50,P50,42,4,9,2023-06-16
G51,P51,41,15,19,2023-02-01
G52,P52,33,11,12,2023-03-12
G53,P53,17,0,1,2023-10-19
G54,P54,31,10,8,2023-11-30
G55,P55,24,7,5,2023-05-21
G56,P56,7,4,1,2023-08-18
G57,P57,30,0,5,2023-07-22
G58,P58,26,5,20,2023-06-27
G59,P59,15,4,2,2023-09-09
G60,P60,16,13,3,2023-01-18
G61,P61,23,14,17,2023-11-18
G62,P62,46,8,3,2023-05-14
G63,P63,19,3,7,2023-07-01
G64,P64,14,2,7,2023-06-30
G65,P65,15,1,12,2023-12-10
G66,P66,16,12,18,2023-05-28
G67,P67,44,7,1,2023-05-12
G68,P68,49,7,0,2023-04-20
G69,P69,47,12,18,2023-11-08
G70,P70,50,10,0,2023-09-06
G71,P71,28,3,18,2023-03-15
G72,P72,36,13,10,2023-08-25
G73,P73,38,6,0,2023-03-15
G74,P74,34,2,14,2023-09-16
G75,P75,50,3,18,2023-10-01
G76,P76,41,1,18,2023-06-12
G77,P77,48,6,1,2023-04-13
G78,P78,44,13,3,2023-05-17
G79,P79,3,10,0,2023-03-07
G80,P80,27,10,13,2023-08-16
G81,P81,50,7,9,2023-04-09
G82,P82,44,14,2,2023-09-18
G83,P83,47,4,8,2023-05-04
G84,P84,19,7,12,2023-09-01
G85,P85,21,15,4,2023-05-25
G86,P86,0,6,2,2023-06-07
G87,P87,20,14,4,2023-05-13
G88,P88,43,7,9,2023-08-15
G89,P89,45,13,0,2023-05-08
G90,P90,2,0,4,2023-01-09
G91,P91,27,5,12,2023-06-16
G92,P92,34,5,8,2023-04-19
G93,P93,37,6,16,2023-03-22
G94,P94,20,8,1,2023-07-18
G95,P95,9,4,0,2023-07-11
G96,P96,7,8,10,2023-12-21
G97,P97,47,12,9,2023-03-23
G98,P98,5,11,20,2023-10-19
G99,P99,36,13,5,2023-12-12
G100,P100,13,11,8,2023-02-06
G101,P101,3,4,15,2023-07-25
G102,P102,43,14,13,2023-10-10
G103,P103,22,12,14,2023-03-08
G104,P104,45,4,20,2023-02-17
G105,P105,24,11,12,2023-07-11
G106,P106,11,13,5,2023-03-28
G107,P107,2,6,10,2023-01-27
G108,P108,43,15,16,2023-04-21
G109,P109,10,3,19,2023-06-28
G110,P110,38,15,14,2023-02-11
G111,P111,24,9,19,2023-07-09
G112,P112,23,9,11,2023-12-08
G113,P113,2,0,12,2023-03-21
G114,P114,41,9,5,2023-09-08
G115,P115,22,2,4,2023-11-16
G116,P116,26,7,6,2023-10-09
G117,P117,9,11,11,2023-05-21
G118,P118,13,1,3,2023-05-13
G119,P119,38,1,5,2023-05-30
G120,P120,40,3,10,2023-10-10
G121,P121,47,2,2,2023-02-11
G122,P122,42,13,9,2023-04-10
G123,P123,47,4,10,2023-07-27
G124,P124,34,8,15,2023-12-20
G125,P125,35,11,20,2023-07-21
G126,P126,9,13,11,2023-06-01
G127,P127,29,2,11,2023-01-07
G128,P128,17,11,16,2023-04-16
G129,P129,14,14,8,2023-11-01
G130,P130,0,13,1,2023-01-16
G131,P131,48,12,13,2023-08-04
G132,P132,14,5,13,2023-05-08
G133,P133,35,5,18,2023-09-01
G134,P134,26,15,5,2023-08-12
G135,P135,20,5,10,2023-10-04
G136,P136,19,0,15,2023-11-11
G137,P137,13,8,14,2023-03-06
G138,P138,4,15,20,2023-08-10
G139,P139,4,10,4,2023-03-28
G140,P140,1,4,12,2023-11-23
G141,P141,12,12,2,2023-05-29
G142,P142,14,3,9,2023-07-22
G143,P143,24,14,3,2023-06-07
G144,P144,25,15,16,2023-05-30
G145,P145,39,3,0,2023-12-04
G146,P146,45,12,4,2023-01-27
G147,P147,28,13,5,2023-10-16
G148,P148,8,9,13,2023-11-15
G149,P149,31,12,19,2023-09-01
G150,P150,25,15,20,2023-08-15
G151,P151,16,7,6,2023-09-27
G152,P152,30,4,1,2023-03-18
G153,P153,1,2,18,2023-03-16
G154,P154,49,1,3,2023-09-04
G155,P155,28,0,11,2023-04-12
G156,P156,11,4,19,2023-09-10
G157,P157,22,5,14,2023-02-18
G158,P158,13,13,13,2023-05-19
G159,P159,34,13,13,2023-07-07
G160,P160,46,2,15,2023-08-12
G161,P161,44,12,19,2023-05-28
G162,P162,3,4,3,2023-01-10
G163,P163,28,2,20,2023-12-06
G164,P164,2,5,20,2023-10-09
G165,P165,10,4,8,2023-07-14
G166,P166,17,2,6,2023-08-25
G167,P167,12,6,0,2023-05-30
G168,P168,26,1,3,2023-08-11
G169,P169,1,1,16,2023-07-29
G170,P170,4,6,20,2023-09-06
G171,P171,17,13,4,2023-02-16
G172,P172,28,6,7,2023-10-13
G173,P173,22,6,10,2023-05-01
G174,P174,48,9,8,2023-01-27
G175,P175,18,8,16,2023-11-24
G176,P176,41,13,6,2023-03-18
G177,P177,17,10,13,2023-04-30
G178,P178,45,9,3,2023-02-26
G179,P179,16,2,9,2023-03-25
G180,P180,10,7,5,2023-01-27
G181,P181,39,11,10,2023-03-09
G182,P182,16,1,20,2023-06-08
