invoice_id,return_date,return_reason
287-83-1405,2023-10-23,late_delivery
480-63-2856,2023-11-11,late_delivery
189-55-2313,2023-11-01,late_delivery
273-16-6619,2023-02-14,late_delivery
291-59-1384,2023-10-13,damaged
188-55-0967,2023-03-08,wrong_size
549-23-9016,2023-08-26,damaged
695-51-0018,2023-04-14,late_delivery
139-20-0155,2023-01-12,late_delivery
871-79-8483,2023-07-22,wrong_size
527-09-6272,2023-04-14,damaged
848-62-7243,2023-03-26,damaged
333-73-7901,2023-04-07,late_delivery
498-41-1961,2024-01-01,wrong_size
487-79-6868,2023-11-21,wrong_size
544-32-5024,2023-07-18,wrong_size
777-67-2495,2023-09-19,damaged
423-57-2993,2023-11-19,damaged
525-88-7307,2023-04-20,late_delivery
497-37-6538,2023-11-20,wrong_size
856-22-8149,2023-03-17,wrong_size
728-47-9078,2023-08-19,wrong_size
435-13-4908,2023-10-08,late_delivery
405-31-3305,2023-02-28,damaged
151-16-1484,2023-02-28,wrong_size
148-82-2527,2023-03-17,late_delivery
523-38-0215,2023-11-13,damaged
500-02-2261,2023-02-21,wrong_size
278-86-2735,2023-08-20,wrong_size
233-34-0817,2023-08-18,late_delivery
852-82-2749,2023-08-01,late_delivery
595-94-9924,2023-12-30,wrong_size
490-29-1201,2023-07-04,damaged
271-77-8740,2023-08-09,late_delivery
558-60-5016,2023-05-31,late_delivery
563-91-7120,2023-02-19,damaged
142-72-4741,2023-02-09,wrong_size
474-33-8305,2023-08-07,late_delivery
726-29-6793,2023-05-20,wrong_size
742-04-5161,2023-11-11,damaged
232-11-3025,2023-05-03,wrong_size
585-90-0249,2023-02-16,damaged
482-17-1179,2023-10-21,wrong_size
690-01-6631,2023-02-20,late_delivery
767-54-1907,2023-03-05,wrong_size
667-23-5919,2023-12-23,late_delivery
192-98-7397,2023-06-09,late_delivery
268-20-3585,2023-01-02,late_delivery
548-46-9322,2023-09-02,damaged
243-55-8457,2023-09-04,late_delivery
565-17-3836,2023-07-06,wrong_size
660-29-7083,2023-03-06,wrong_size
887-42-0517,2023-03-14,damaged
247-11-2470,2023-04-03,late_delivery
828-46-6863,2023-10-18,damaged
751-41-9720,2023-09-16,late_delivery
759-98-4285,2023-04-26,damaged
672-51-8681,2023-08-30,late_delivery
318-81-2368,2023-07-19,wrong_size
302-15-2162,2023-03-09,late_delivery
648-83-1321,2023-11-30,damaged
442-48-3607,2023-07-12,damaged
139-20-0155,2023-07-28,late_delivery
834-61-8124,2023-10-10,damaged
252-56-2699,2023-03-24,wrong_size
729-06-2010,2023-08-13,late_delivery
319-74-2561,2023-04-29,wrong_size
370-96-0655,2023-09-23,late_delivery
631-41-3108,2023-09-16,damaged
210-67-5886,2023-12-28,late_delivery
701-69-8742,2023-08-26,damaged
305-03-2383,2023-12-03,late_delivery
626-43-7888,2023-03-08,wrong_size
590-83-4591,2023-03-20,damaged
505-02-0892,2023-06-07,wrong_size
490-95-0021,2023-05-19,wrong_size
870-54-3162,2023-09-07,damaged
404-91-5964,2023-12-08,late_delivery
565-17-3836,2023-07-29,late_delivery
445-30-9252,2023-03-19,wrong_size
233-67-5758,2023-04-30,damaged
626-43-7888,2023-03-27,damaged
109-86-4363,2023-11-23,wrong_size
732-04-5373,2023-08-01,late_delivery
359-94-5395,2023-02-01,damaged
550-84-8664,2023-06-24,damaged
545-46-3100,2023-02-25,late_delivery
144-51-6085,2023-11-21,late_delivery
704-48-3927,2023-04-10,damaged
277-63-2961,2023-03-28,damaged
740-11-5257,2023-04-26,wrong_size
334-64-2006,2023-04-17,wrong_size
528-87-5606,2023-07-24,wrong_size
457-94-0464,2023-04-06,late_delivery
767-05-1286,2023-04-29,damaged
102-06-2002,2023-02-16,late_delivery
871-39-9221,2023-05-22,wrong_size
124-31-1458,2023-12-03,late_delivery
726-29-6793,2023-02-28,damaged
199-75-8169,2023-09-12,late_delivery
279-74-2924,2023-11-20,late_delivery
319-74-2561,2023-09-25,damaged
544-32-5024,2023-03-02,late_delivery
189-98-2939,2023-11-13,late_delivery
745-71-3520,2023-02-15,late_delivery
433-75-6987,2023-03-19,wrong_size
439-54-7422,2023-04-11,damaged
744-16-7898,2023-12-13,late_delivery
