shot_id,player_id,shot_zone,made
S1,P11698,midrange,False
S2,P734,three_point,True
S3,P4099,three_point,True
S4,P18042,three_point,False
S5,P6777,paint,True
S6,P8233,midrange,True
S7,P7898,three_point,False
S8,P19400,three_point,False
S9,P12040,paint,True
S10,P715,three_point,False
S11,P12945,three_point,True
S12,P12743,midrange,True
S13,P3792,paint,True
S14,P5756,midrange,True
S15,P18230,three_point,True
S16,P8642,paint,False
S17,P16937,paint,False
S18,P9213,paint,False
S19,P116,midrange,False
S20,P14447,midrange,True
S21,P9247,midrange,True
S22,P11139,paint,False
S23,P6683,paint,True
S24,P15420,paint,False
S25,P5077,three_point,False
S26,P7458,paint,False
S27,P10138,midrange,True
S28,P4512,midrange,True
S29,P1211,three_point,True
S30,P7030,midrange,False
S31,P9072,three_point,True
S32,P15654,paint,True
S33,P1350,paint,True
S34,P16205,midrange,False
S35,P14058,paint,True
S36,P5572,paint,False
S37,P19595,three_point,True
S38,P18501,paint,True
S39,P4004,midrange,False
S40,P4752,three_point,False
S41,P14690,three_point,True
S42,P15531,three_point,False
S43,P11244,midrange,True
S44,P14775,midrange,True
S45,P4252,paint,True
S46,P12689,midrange,True
S47,P8891,three_point,True
S48,P6332,three_point,False
S49,P15591,midrange,True
S50,P10056,midrange,False
S51,P285,midrange,True
S52,P14592,three_point,True
S53,P12078,paint,True
S54,P3845,paint,False
S55,P9807,paint,False
S56,P6846,midrange,True
S57,P18336,three_point,True
S58,P10215,paint,False
S59,P10970,midrange,True
S60,P9534,paint,False
S61,P7867,three_point,True
S62,P10991,three_point,False
S63,P14243,paint,True
S64,P12634,three_point,False
S65,P6531,paint,True
S66,P15524,three_point,True
S67,P9115,paint,True
S68,P18041,three_point,False
S69,P17794,paint,True
S70,P5924,paint,False
S71,P19616,three_point,True
S72,P17243,three_point,True
S73,P16294,midrange,True
S74,P13581,paint,True
S75,P8685,midrange,False
S76,P4935,midrange,True
S77,P15515,midrange,False
S78,P9522,three_point,True
S79,P2840,midrange,True
S80,P12397,paint,False
S81,P17341,midrange,False
S82,P13931,three_point,True
S83,P5668,three_point,True
S84,P3209,midrange,True
S85,P14582,three_point,True
S86,P15377,midrange,True
S87,P13891,midrange,True
S88,P78,three_point,False
S89,P8305,paint,False
S90,P16015,three_point,True
S91,P15549,midrange,True
S92,P17605,paint,False
S93,P1782,paint,False
S94,P6798,midrange,False
S95,P19711,paint,False
S96,P13037,three_point,True
S97,P16018,paint,True
S98,P17607,paint,False
S99,P10020,paint,True
S100,P8743,three_point,False
S101,P19696,three_point,True
S102,P5796,paint,False
S103,P3510,paint,True
S104,P13243,midrange,False
S105,P6145,paint,True
S106,P8893,three_point,False
S107,P203,midrange,False
S108,P7553,three_point,False
S109,P1747,midrange,True
S110,P18569,midrange,False
S111,P2917,paint,False
S112,P13862,three_point,True
S113,P12867,paint,False
S114,P13702,three_point,True
S115,P4620,paint,False
S116,P6835,three_point,True
S117,P1060,paint,True
S118,P10329,midrange,True
S119,P12007,paint,False
S120,P4993,midrange,False
S121,P11762,three_point,True
S122,P12290,paint,False
S123,P2494,midrange,False
S124,P11465,midrange,False
S125,P13414,midrange,False
S126,P15526,three_point,False
S127,P19297,three_point,True
S128,P14444,three_point,False
S129,P9943,midrange,True
S130,P15034,midrange,True
S131,P12304,paint,True
S132,P3073,midrange,False
S133,P14614,midrange,False
S134,P14176,midrange,True
S135,P12427,paint,True
S136,P9468,three_point,False
S137,P5497,paint,False
S138,P7926,paint,False
S139,P10944,three_point,True
S140,P16794,midrange,True
S141,P16843,midrange,False
S142,P4817,paint,False
S143,P13090,paint,False
S144,P13194,three_point,True
S145,P13476,midrange,False
S146,P7877,midrange,False
S147,P13651,midrange,False
S148,P3788,three_point,False
S149,P2003,midrange,True
S150,P14466,paint,True
S151,P13647,midrange,True
S152,P5451,three_point,True
S153,P18278,three_point,True
S154,P18052,three_point,False
S155,P9057,three_point,True
S156,P14230,three_point,True
S157,P10991,paint,True
S158,P16585,midrange,False
S159,P7785,three_point,True
S160,P15177,midrange,True
S161,P3618,three_point,True
S162,P17648,three_point,False
S163,P5683,three_point,False
S164,P19342,three_point,True
S165,P9396,midrange,True
S166,P5416,midrange,False
S167,P10330,three_point,True
S168,P2789,paint,False
S169,P15745,midrange,True
S170,P4839,paint,True
S171,P306,midrange,True
S172,P7460,midrange,True
S173,P8929,paint,False
S174,P9450,paint,False
S175,P14532,paint,False
S176,P292,paint,False
S177,P2273,paint,True
S178,P18862,paint,False
S179,P496,three_point,True
S180,P15345,midrange,False
S181,P16685,paint,True
S182,P14993,three_point,False
S183,P10525,three_point,True
S184,P1602,midrange,False
S185,P10528,paint,True
S186,P1003,paint,True
S187,P3920,paint,True
S188,P17608,midrange,False
S189,P19118,three_point,False
S190,P6744,three_point,True
S191,P7976,midrange,True
S192,P7484,paint,False
S193,P5678,midrange,False
S194,P12505,paint,True
S195,P5178,paint,False
S196,P19405,midrange,True
S197,P6779,midrange,True
S198,P19599,midrange,False
S199,P15336,midrange,False
S200,P15559,midrange,True
S201,P3535,paint,True
S202,P923,paint,True
S203,P7604,three_point,True
S204,P53,midrange,False
S205,P11984,midrange,False
S206,P6212,paint,True
S207,P18708,three_point,False
S208,P18540,midrange,False
S209,P12197,paint,True
S210,P15154,three_point,True
S211,P10777,midrange,True
S212,P13437,three_point,True
S213,P2678,paint,False
S214,P13556,paint,False
S215,P2722,three_point,False
S216,P9154,paint,True
S217,P8234,paint,True
S218,P6912,paint,True
S219,P5422,midrange,False
S220,P15745,paint,True
S221,P3286,three_point,True
S222,P3656,paint,True
S223,P9985,midrange,False
S224,P14995,three_point,False
S225,P1909,three_point,False
S226,P10539,three_point,True
S227,P19818,paint,False
S228,P599,paint,False
S229,P16971,paint,False
S230,P10511,paint,False
S231,P19020,midrange,False
S232,P17245,midrange,False
S233,P16783,three_point,False
S234,P5592,paint,False
S235,P8288,midrange,True
S236,P8083,three_point,False
S237,P5130,midrange,True
S238,P18594,three_point,False
S239,P7791,three_point,True
S240,P408,midrange,True
S241,P16918,three_point,True
S242,P16668,midrange,True
S243,P8742,paint,True
S244,P19424,three_point,False
S245,P5337,midrange,False
S246,P19271,three_point,False
S247,P12687,paint,False
S248,P2706,three_point,False
S249,P4085,three_point,False
S250,P19577,midrange,False
S251,P12103,three_point,False
S252,P19383,paint,True
S253,P16694,paint,False
S254,P9311,paint,False
S255,P3524,paint,False
S256,P9765,three_point,True
S257,P14785,three_point,True
S258,P10749,paint,False
S259,P4242,paint,False
S260,P8025,midrange,True
S261,P12585,midrange,False
S262,P5567,three_point,True
S263,P4296,three_point,True
S264,P880,paint,False
S265,P1767,paint,True
S266,P2279,paint,False
S267,P1738,three_point,False
S268,P16853,paint,True
S269,P10896,paint,False
S270,P11319,midrange,False
S271,P15192,three_point,False
S272,P12762,paint,True
S273,P10637,three_point,True
S274,P12807,midrange,True
S275,P13218,three_point,False
S276,P17065,three_point,False
S277,P19746,paint,True
S278,P7670,three_point,False
S279,P18138,three_point,True
S280,P19382,midrange,True
S281,P8784,three_point,False
S282,P9418,paint,False
S283,P13181,paint,False
S284,P6430,three_point,True
S285,P4514,midrange,False
S286,P2252,paint,True
S287,P4133,three_point,False
S288,P5598,three_point,True
S289,P7854,three_point,True
S290,P7553,midrange,False
S291,P2797,paint,True
S292,P3204,midrange,True
S293,P56,three_point,False
S294,P3233,midrange,False
S295,P10143,three_point,True
S296,P11903,midrange,False
S297,P6755,three_point,False
S298,P4530,three_point,True
S299,P16486,midrange,True
S300,P16378,midrange,True
S301,P18578,three_point,False
S302,P6993,paint,False
S303,P19647,midrange,True
S304,P5050,paint,False
S305,P17742,three_point,False
S306,P14988,midrange,True
S307,P16926,paint,False
S308,P10318,paint,True
S309,P18170,midrange,True
S310,P11631,midrange,True
S311,P12906,midrange,False
S312,P2622,three_point,True
S313,P14206,three_point,False
S314,P18551,three_point,True
S315,P13375,paint,False
S316,P12051,paint,True
S317,P4130,paint,True
S318,P5864,three_point,True
S319,P12347,three_point,True
S320,P4702,paint,True
S321,P1573,three_point,True
S322,P7309,three_point,False
S323,P7160,paint,True
S324,P12277,midrange,False
S325,P19403,three_point,False
S326,P18183,three_point,False
S327,P8326,midrange,False
S328,P16714,midrange,False
S329,P15755,midrange,False
S330,P12613,midrange,False
S331,P11795,three_point,True
S332,P3885,paint,True
S333,P12447,three_point,True
S334,P15217,three_point,True
S335,P15780,midrange,True
S336,P10895,paint,False
S337,P13036,paint,False
S338,P3165,midrange,False
S339,P12592,three_point,True
S340,P7465,midrange,False
S341,P12995,midrange,True
S342,P7734,three_point,False
S343,P735,paint,True
S344,P12942,three_point,False
S345,P6331,midrange,True
S346,P13595,midrange,False
S347,P1738,paint,True
S348,P7440,paint,False
S349,P3901,paint,False
S350,P6447,three_point,True
S351,P18946,three_point,False
S352,P17045,three_point,True
S353,P3246,three_point,False
S354,P10269,midrange,True
S355,P3028,paint,False
S356,P8989,paint,False
S357,P12488,three_point,False
S358,P11526,paint,True
S359,P19901,three_point,True
S360,P12909,paint,True
S361,P6799,midrange,True
S362,P8814,midrange,False
S363,P16038,three_point,True
S364,P16911,three_point,True
S365,P600,three_point,True
S366,P13135,midrange,False
S367,P8479,midrange,True
S368,P19977,midrange,False
S369,P16307,midrange,True
S370,P9628,midrange,True
S371,P15005,paint,True
S372,P11679,midrange,False
S373,P1495,paint,True
S374,P11107,paint,False
S375,P642,three_point,True
S376,P5032,midrange,False
S377,P3706,paint,False
S378,P5654,three_point,True
S379,P10528,midrange,False
S380,P8848,paint,True
S381,P7991,three_point,True
S382,P13475,midrange,False
S383,P1808,midrange,True
S384,P3083,three_point,True
S385,P6582,paint,False
S386,P4069,three_point,True
S387,P16531,paint,True
S388,P14549,paint,True
S389,P6858,paint,False
S390,P18563,paint,False
S391,P12282,three_point,True
S392,P12756,paint,False
S393,P13642,midrange,False
S394,P9194,paint,True
S395,P15472,paint,False
S396,P2007,three_point,False
S397,P16086,three_point,True
S398,P7221,midrange,True
S399,P13556,three_point,False
S400,P13665,three_point,False
S401,P14964,three_point,True
S402,P4231,midrange,False
S403,P9308,three_point,False
S404,P18099,paint,False
S405,P11615,three_point,True
S406,P1060,three_point,False
S407,P13298,paint,False
