id,soil_ph,soil_type
1,6.2,sandy_loam
2,6.7,sandy_loam
3,5.5,clay
4,6.4,peat
5,5.9,sandy_loam
6,5.8,clay
7,5.9,sandy_loam
8,7.4,peat
9,6.2,clay
10,6.0,clay
11,7.4,sandy_loam
12,6.1,clay
13,6.6,clay
14,6.8,sandy_loam
15,5.9,sandy_loam
16,5.6,clay
17,6.2,clay
18,6.6,peat
19,6.9,peat
20,6.0,clay
21,6.8,sandy_loam
22,6.3,clay
23,5.8,clay
24,5.7,peat
25,7.5,sandy_loam
26,6.7,peat
27,6.0,sandy_loam
28,6.7,clay
29,5.8,sandy_loam
30,7.0,clay
31,6.6,sandy_loam
32,6.1,clay
33,5.7,clay
34,6.1,sandy_loam
35,6.8,sandy_loam
36,6.1,peat
37,6.7,clay
38,7.2,clay
39,6.6,sandy_loam
40,6.2,peat
41,7.1,sandy_loam
42,6.4,peat
43,6.9,sandy_loam
44,6.5,clay
45,7.4,peat
46,6.2,clay
47,7.2,sandy_loam
48,6.3,clay
49,6.7,clay
50,7.4,peat
51,5.8,sandy_loam
52,5.8,sandy_loam
53,6.5,sandy_loam
54,7.3,peat
55,6.4,peat
56,6.0,sandy_loam
57,6.1,peat
58,5.5,sandy_loam
59,7.4,sandy_loam
60,7.5,sandy_loam
61,7.1,peat
62,5.7,peat
63,6.1,clay
64,6.6,sandy_loam
65,7.2,peat
66,5.7,peat
67,6.8,sandy_loam
68,6.6,sandy_loam
69,6.8,sandy_loam
70,6.2,sandy_loam
71,6.7,sandy_loam
72,5.8,sandy_loam
73,7.0,sandy_loam
74,5.9,peat
75,7.1,sandy_loam
76,6.5,peat
77,6.5,sandy_loam
78,6.8,clay
79,6.7,peat
80,7.5,peat
81,6.4,sandy_loam
82,5.8,clay
83,5.8,peat
84,5.7,clay
85,7.0,clay
86,5.6,clay
87,5.9,peat
88,5.9,clay
89,6.4,clay
90,6.9,sandy_loam
91,7.0,clay
92,7.2,peat
93,6.9,peat
94,6.5,peat
95,7.5,sandy_loam
96,5.9,sandy_loam
97,6.6,sandy_loam
98,6.9,peat
99,5.6,clay
100,6.8,peat
101,5.6,clay
102,6.4,peat
103,7.1,clay
104,5.9,clay
105,6.7,sandy_loam
106,5.6,peat
107,7.0,peat
108,6.8,sandy_loam
109,7.4,clay
110,7.1,clay
111,6.9,sandy_loam
112,5.5,sandy_loam
113,7.3,clay
114,6.6,peat
115,6.9,clay
116,5.7,peat
