des,close_approach_date,dist_km,relative_velocity_km_s,is_potentially_hazardous
NEO1,2025-04-04,243761,8.2,False
NEO2,2025-06-15,60394,12.6,True
NEO3,2025-04-28,219270,13.1,True
NEO4,2025-03-03,225286,4.3,True
NEO5,2025-01-05,295715,7.6,False
NEO6,2025-09-06,54131,12.5,False
NEO7,2025-07-31,179049,11.9,True
NEO8,2025-06-23,211258,9.5,True
NEO9,2025-08-01,88391,9.0,True
NEO10,2025-09-19,200343,13.0,False
NEO11,2025-11-18,65544,6.1,True
NEO12,2025-09-10,216435,3.6,True
NEO13,2025-08-13,204601,8.0,True
NEO14,2025-05-25,59105,14.5,True
NEO15,2025-05-27,254976,13.9,True
NEO16,2025-08-02,274385,4.9,True
NEO17,2025-11-17,278282,4.5,False
NEO18,2025-05-08,231075,10.0,False
NEO19,2025-12-19,148292,12.2,False
NEO20,2025-06-09,279110,11.7,True
NEO21,2025-08-02,121098,4.8,True
NEO22,2025-12-12,182949,3.0,False
NEO23,2025-03-02,168473,12.8,False
NEO24,2025-12-06,141781,13.4,False
NEO25,2025-03-29,203929,10.2,True
NEO26,2025-01-05,132821,8.4,False
NEO27,2025-08-03,246257,10.5,False
NEO28,2025-08-10,283487,11.7,True
NEO29,2025-01-03,298408,11.8,False
NEO30,2025-10-03,226180,9.4,True
NEO31,2025-11-15,217973,11.6,True
NEO32,2025-06-01,246075,8.3,True
NEO33,2025-08-09,214107,6.1,True
NEO34,2025-11-13,51729,4.2,False
NEO35,2025-07-14,205764,9.3,True
NEO36,2025-12-29,246826,7.2,True
NEO37,2025-01-24,67702,10.6,True
NEO38,2025-12-25,196124,14.9,False
NEO39,2025-11-26,101241,6.2,False
NEO40,2025-07-15,299525,13.8,False
NEO41,2025-04-04,98316,5.0,True
NEO42,2025-08-12,281753,10.8,True
NEO43,2025-03-01,280847,5.9,False
NEO44,2025-02-10,123994,5.1,True
NEO45,2025-10-17,291784,5.9,True
NEO46,2025-01-22,248310,8.4,True
NEO47,2025-08-29,282799,13.9,False
NEO48,2025-12-05,236569,6.7,True
NEO49,2025-12-21,236844,7.6,True
NEO50,2025-05-31,101870,3.1,False
NEO51,2025-12-01,187685,10.1,True
NEO52,2025-03-19,239587,4.2,False
NEO53,2025-02-11,82452,8.3,False
NEO54,2025-12-18,65559,4.2,False
NEO55,2025-05-03,284095,14.7,True
NEO56,2025-04-01,47655,8.8,False
NEO57,2025-04-12,152109,11.9,True
NEO58,2025-03-03,113078,8.0,True
NEO59,2025-05-29,123296,10.4,True
NEO60,2025-12-28,38608,12.5,True
NEO61,2025-03-03,209701,5.8,True
NEO62,2025-01-19,193271,3.0,True
NEO63,2025-03-09,177467,8.7,True
NEO64,2025-04-02,65795,10.2,False
NEO65,2025-04-14,220866,5.0,False
NEO66,2025-12-17,211527,8.1,True
NEO67,2025-08-24,199881,11.2,False
NEO68,2025-09-22,123021,9.4,True
NEO69,2025-08-18,146499,7.1,True
NEO70,2025-08-03,253013,14.9,False
NEO71,2025-01-31,205905,13.6,False
NEO72,2025-07-05,240910,11.0,False
NEO73,2025-03-06,205722,10.4,False
NEO74,2025-06-11,287118,14.8,False
NEO75,2025-01-11,80732,6.9,True
NEO76,2025-09-26,80332,7.8,True
NEO77,2025-09-02,120682,6.1,False
