suspect_id,crime_id,suspect_name
S1,111981,Suspect_1
S2,467491,Suspect_2
S3,499074,Suspect_3
S4,316485,Suspect_4
S5,83986,Suspect_5
S6,69526,Suspect_6
S7,442280,Suspect_7
S8,277032,Suspect_8
S9,33000,Suspect_9
S10,449389,Suspect_10
S11,302220,Suspect_11
S12,92636,Suspect_12
S13,3713,Suspect_13
S14,62975,Suspect_14
S15,392630,Suspect_15
S16,166517,Suspect_16
S17,465160,Suspect_17
S18,189107,Suspect_18
S19,222528,Suspect_19
S20,491457,Suspect_20
S21,162445,Suspect_21
S22,144226,Suspect_22
S23,370104,Suspect_23
S24,99713,Suspect_24
S25,347799,Suspect_25
S26,282081,Suspect_26
S27,67315,Suspect_27
S28,45867,Suspect_28
S29,120845,Suspect_29
S30,483627,Suspect_30
S31,117550,Suspect_31
S32,134208,Suspect_32
S33,431477,Suspect_33
S34,13427,Suspect_34
S35,417310,Suspect_35
S36,156356,Suspect_36
S37,118994,Suspect_37
S38,369931,Suspect_38
S39,352884,Suspect_39
S40,221976,Suspect_40
S41,390385,Suspect_41
S42,438907,Suspect_42
S43,258211,Suspect_43
S44,261081,Suspect_44
S45,263599,Suspect_45
S46,338869,Suspect_46
S47,286341,Suspect_47
S48,478562,Suspect_48
S49,145146,Suspect_49
S50,99357,Suspect_50
S51,178934,Suspect_51
S52,316510,Suspect_52
S53,413929,Suspect_53
S54,60895,Suspect_54
S55,299505,Suspect_55
S56,136728,Suspect_56
S57,317933,Suspect_57
S58,379836,Suspect_58
S59,203710,Suspect_59
S60,129072,Suspect_60
S61,495177,Suspect_61
S62,146926,Suspect_62
S63,89879,Suspect_63
S64,240201,Suspect_64
S65,282904,Suspect_65
S66,251283,Suspect_66
S67,278921,Suspect_67
S68,79842,Suspect_68
S69,174671,Suspect_69
S70,218574,Suspect_70
S71,42795,Suspect_71
S72,375772,Suspect_72
S73,64781,Suspect_73
S74,295922,Suspect_74
S75,358019,Suspect_75
S76,205471,Suspect_76
S77,486644,Suspect_77
S78,319726,Suspect_78
S79,77112,Suspect_79
S80,316932,Suspect_80
S81,123078,Suspect_81
S82,453104,Suspect_82
S83,227082,Suspect_83
S84,363790,Suspect_84
S85,213711,Suspect_85
S86,257605,Suspect_86
S87,387302,Suspect_87
S88,7922,Suspect_88
S89,382384,Suspect_89
S90,283485,Suspect_90
S91,160298,Suspect_91
S92,93146,Suspect_92
S93,417635,Suspect_93
S94,377599,Suspect_94
S95,415397,Suspect_95
S96,457545,Suspect_96
S97,120394,Suspect_97
S98,39462,Suspect_98
S99,42977,Suspect_99
S100,144430,Suspect_100
S101,469228,Suspect_101
S102,426155,Suspect_102
S103,203994,Suspect_103
S104,326384,Suspect_104
S105,125465,Suspect_105
S106,324632,Suspect_106
S107,272326,Suspect_107
S108,346497,Suspect_108
S109,70283,Suspect_109
S110,320088,Suspect_110
S111,100131,Suspect_111
S112,229332,Suspect_112
S113,279973,Suspect_113
S114,130672,Suspect_114
S115,457275,Suspect_115
S116,306635,Suspect_116
S117,91691,Suspect_117
S118,26166,Suspect_118
S119,196047,Suspect_119
S120,381955,Suspect_120
S121,12770,Suspect_121
S122,248531,Suspect_122
S123,165491,Suspect_123
S124,278696,Suspect_124
S125,267401,Suspect_125
S126,390836,Suspect_126
S127,84084,Suspect_127
S128,159843,Suspect_128
S129,99051,Suspect_129
S130,188823,Suspect_130
S131,232968,Suspect_131
S132,392623,Suspect_132
S133,217452,Suspect_133
S134,328516,Suspect_134
S135,281646,Suspect_135
S136,466597,Suspect_136
S137,19369,Suspect_137
S138,67519,Suspect_138
S139,140040,Suspect_139
S140,220412,Suspect_140
S141,305417,Suspect_141
S142,85088,Suspect_142
S143,33428,Suspect_143
S144,168631,Suspect_144
S145,417680,Suspect_145
S146,471043,Suspect_146
S147,322260,Suspect_147
S148,454677,Suspect_148
S149,264638,Suspect_149
S150,182212,Suspect_150
S151,211683,Suspect_151
S152,499962,Suspect_152
S153,445523,Suspect_153
S154,422313,Suspect_154
S155,257070,Suspect_155
S156,415942,Suspect_156
